customer_code,customer_name,tax_code,address,province_id,customer_tier,is_active,created_at,updated_at
KH-00001,HỘ KINH DOANH TÚ ANH,257951869,"Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",11,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,152259109,"Đường Tạ Quang Bửu, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",11,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,129992862,"đường Trường Chinh, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",11,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,176705791,,,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00005,CÔNG TY TNHH ĐẠI LỢI,280049186,"Khu Liên cơ Võ Chí Công, số 258 Võ Chí Công, Khu 2 Xuân La, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",11,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00006,CÔNG TY TNHH CHI THÀNH,402385989,"đường Bờ Bao Tân Thắng, phường Sơn Kỳ, quận Tân Phú, TP Hồ Chí Minh",48,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,103675633,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,25,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,245025729,"Trần Phú, , Quận Ba Đình, Hà Nội",11,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,238229576,"Đường B4, Khu B, Khu công nghiệp Phố Nối A, Xã Lạc Hồng, Huyện Văn Lâm, Hưng Yên",14,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,236208249,"đường Bắc Sơn, Phường Hoàng Văn Thụ, Thành phố Thái Nguyên, Thái Nguyên",54,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00011,DOANH NGHIỆP TW NAM TIẾN,146999046,"ngõ Trần Cao Vân, Phường Phố Huế, Quận Hai Bà Trưng,TP.Hà Nội",11,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00012,HỘ KINH DOANH THIÊN AN,230261907,"Xã Thanh Lâm, Huyện Mê Linh, Hà Nội",11,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00013,DOANH NGHIỆP TW THANH BÌNH,120638472,"Đường 206 KCN Phố Nối A, Xã Trưng Trắc, Huyện Văn Lâm, Hưng Yên",14,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00014,HỘ KINH DOANH LONG PHÚ,227665061,"Phường Tiền An, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",3,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,145176910,"Khu 12, Lâm Thao, Lâm Thao, Phú Thọ",33,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
KH-00016,DOANH NGHIỆP TW VIỆT ANH,268122475,Trần Hưng Đạo -khu phố 3 - phường 3 Thị xã Quảng trị - Tỉnh Quảng Trị,40,STANDARD,True,2026-05-26 16:47:27.716285+07:00,2026-05-26 16:47:27.716285+07:00
