log_id,message_id,from_address,received_at,attachment_name,processing_status
1,<177639809687.27.2053695854357871005@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,2026-03-01 14:28:41+07:00,BH26_0935.pdf,READY_TO_INSERT
2,<177639809696.27.1453607047024582931@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,2026-03-01 08:01:22+07:00,BH26_0936.pdf,READY_TO_INSERT
3,<177639809697.27.11596357474505186610@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,2026-03-01 17:39:23+07:00,BH26_0937.pdf,READY_TO_INSERT
4,<177639809697.27.6670988768861278913@namtien.vn>,CÔNG TY CỔ PHẦN NAM TIẾN <dathang@namtien.vn>,2026-03-01 14:00:16+07:00,BH26_0938.pdf,READY_TO_INSERT
5,<177639809699.27.15777827095392894769@khaihoan.vn>,DOANH NGHIỆP TW KHẢI HOÀN <dathang@khaihoan.vn>,2026-03-01 08:47:33+07:00,BH26_0939.pdf,READY_TO_INSERT
6,<177639809698.27.1283066103397798384@quangvinh.vn>,HỘ KINH DOANH QUANG VINH <dathang@quangvinh.vn>,2026-03-01 14:52:42+07:00,BH26_0940.pdf,READY_TO_INSERT
7,<177639809698.27.14260593838171589262@taybac.vn>,HỘ KINH DOANH TÂY BẮC <dathang@taybac.vn>,2026-03-01 07:56:56+07:00,BH26_0941.pdf,READY_TO_INSERT
8,<177639809699.27.7012091250016467664@dailoi.vn>,CỬA HÀNG XE ĐẠP ĐẠI LỢI <dathang@dailoi.vn>,2026-03-01 16:17:13+07:00,BH26_0942.pdf,READY_TO_INSERT
9,<177639809699.27.15386621650891716399@vanloi.vn>,CÔNG TY TNHH VẠN LỢI <dathang@vanloi.vn>,2026-03-01 16:40:23+07:00,BH26_0943.pdf,READY_TO_INSERT
10,<177639809700.27.6553587738384543240@vietanh.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH <dathang@vietanh.vn>,2026-03-01 16:44:58+07:00,BH26_0944.pdf,READY_TO_INSERT
11,<177639809700.27.12946299709363366021@dailoi.vn>,DOANH NGHIỆP TW ĐẠI LỢI <dathang@dailoi.vn>,2026-03-01 10:51:21+07:00,BH26_0945.pdf,READY_TO_INSERT
12,<177639809701.27.1317143838265288107@vietanh.vn>,DOANH NGHIỆP TW VIỆT ANH <dathang@vietanh.vn>,2026-03-01 07:35:58+07:00,BH26_0946.pdf,READY_TO_INSERT
13,<177639809696.27.801519116549617023@toanthang.vn>,CÔNG TY CỔ PHẦN TOÀN THẮNG <dathang@toanthang.vn>,2026-03-01 16:12:36+07:00,BH26_0947.pdf,READY_TO_INSERT
14,<177639809696.27.2302636251494628997@toanthang.vn>,CÔNG TY CỔ PHẦN TOÀN THẮNG <dathang@toanthang.vn>,2026-03-01 07:29:23+07:00,BH26_0948.pdf,READY_TO_INSERT
15,<177639809695.27.7008421793132065041@khaihoan.vn>,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN <dathang@khaihoan.vn>,2026-03-01 13:24:52+07:00,BH26_0949.pdf,READY_TO_INSERT
16,<177639809694.27.14083980817542670947@daiduong.vn>,HỘ KINH DOANH ĐẠI DƯƠNG <dathang@daiduong.vn>,2026-03-01 09:30:59+07:00,BH26_0950.pdf,READY_TO_INSERT
17,<177639809694.27.5125821543982213238@dongnam.vn>,CÔNG TY TNHH ĐÔNG NAM <dathang@dongnam.vn>,2026-03-01 13:28:02+07:00,BH26_0951.pdf,READY_TO_INSERT
18,<177639809694.27.2945194472877206461@phuthinh.vn>,CỬA HÀNG XE ĐẠP PHÚ THỊNH <dathang@phuthinh.vn>,2026-03-01 12:51:42+07:00,BH26_0952.pdf,READY_TO_INSERT
19,<177639809693.27.16035760590688802187@yenbinh.vn>,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH <dathang@yenbinh.vn>,2026-03-01 09:29:16+07:00,BH26_0953.pdf,READY_TO_INSERT
20,<177639809693.27.8286444275301796832@mattroi.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI <dathang@mattroi.vn>,2026-03-01 11:48:46+07:00,BH26_0954.pdf,READY_TO_INSERT
21,<177639809690.27.12937162279754847113@daiduong.vn>,DOANH NGHIỆP TW ĐẠI DƯƠNG <dathang@daiduong.vn>,2026-03-01 08:37:32+07:00,BH26_0955.pdf,READY_TO_INSERT
22,<177639809695.27.6344863178936378387@thuytien.vn>,CỬA HÀNG XE ĐẠP THUỶ TIÊN <dathang@thuytien.vn>,2026-03-01 11:52:01+07:00,BH26_0956.pdf,READY_TO_INSERT
23,<177639809690.27.10353144037217341363@quangvinh.vn>,CỬA HÀNG XE ĐẠP QUANG VINH <dathang@quangvinh.vn>,2026-03-01 13:46:16+07:00,BH26_0957.pdf,READY_TO_INSERT
