line_id,order_id,so_number,product_code,quantity,unit_price,line_total,created_at
1,1,BH25.0001,000214004000000,1.00,2305555.56,2305556.00,2026-05-26 16:47:27.716285+07:00
2,2,BH25.0002,000333002022000,1.00,3509259.26,3509259.00,2026-05-26 16:47:27.716285+07:00
3,3,BH25.0003,000224002004000,1.00,2398148.15,2398148.00,2026-05-26 16:47:27.716285+07:00
4,4,BH25.0004,000217003001000,5.00,2453703.70,12268519.00,2026-05-26 16:47:27.716285+07:00
5,5,BH25.0005,000217002007000,2.00,2212962.96,4425926.00,2026-05-26 16:47:27.716285+07:00
6,6,BH25.0006,000225002015000,11.00,1898148.00,20879628.00,2026-05-26 16:47:27.716285+07:00
7,6,BH25.0006,000226003015000,4.00,2037037.00,8148148.00,2026-05-26 16:47:27.716285+07:00
8,7,BH25.0007,000217003001000,5.00,1594907.41,7974537.00,2026-05-26 16:47:27.716285+07:00
9,7,BH25.0007,000226003015000,2.00,1685185.19,3370370.00,2026-05-26 16:47:27.716285+07:00
10,7,BH25.0007,000225002004000,28.00,1618981.48,45331481.00,2026-05-26 16:47:27.716285+07:00
11,7,BH25.0007,000224002004000,13.00,1558796.30,20264352.00,2026-05-26 16:47:27.716285+07:00
12,7,BH25.0007,000214004000000,6.00,1498611.11,8991667.00,2026-05-26 16:47:27.716285+07:00
13,7,BH25.0007,000331002004000,17.00,1799537.04,30592130.00,2026-05-26 16:47:27.716285+07:00
14,7,BH25.0007,1030010000080000,3.00,1289814.81,3869444.00,2026-05-26 16:47:27.716285+07:00
15,7,BH25.0007,000131002007000,15.00,1197685.19,17965278.00,2026-05-26 16:47:27.716285+07:00
16,7,BH25.0007,000401002016002,36.00,1516666.67,54600000.00,2026-05-26 16:47:27.716285+07:00
17,7,BH25.0007,000207004000000,5.00,1498611.11,7493056.00,2026-05-26 16:47:27.716285+07:00
18,7,BH25.0007,1000300050010000,16.00,2943055.56,47088889.00,2026-05-26 16:47:27.716285+07:00
19,8,BH25.0008,000224002004000,20.00,2222222.22,44444444.00,2026-05-26 16:47:27.716285+07:00
20,9,BH25.0009,000218004005000,2.00,3324074.07,6648148.00,2026-05-26 16:47:27.716285+07:00
21,10,BH25.0010,1000270020150000,3.00,500000.00,1500000.00,2026-05-26 16:47:27.716285+07:00
22,10,BH25.0010,1000270020220000,3.00,500000.00,1500000.00,2026-05-26 16:47:27.716285+07:00
23,10,BH25.0010,000117002023000,5.00,500000.00,2500000.00,2026-05-26 16:47:27.716285+07:00
24,10,BH25.0010,000117002023000,10.00,500000.00,5000000.00,2026-05-26 16:47:27.716285+07:00
25,10,BH25.0010,1000210020090000,3.00,470000.00,1410000.00,2026-05-26 16:47:27.716285+07:00
26,10,BH25.0010,1000220020090000,3.00,500000.00,1500000.00,2026-05-26 16:47:27.716285+07:00
27,10,BH25.0010,1040010000080000,3.00,1231481.48,3694444.00,2026-05-26 16:47:27.716285+07:00
28,11,BH25.0011,000218002007000,1.00,2305555.56,2305556.00,2026-05-26 16:47:27.716285+07:00
29,17,BH25.0012,000226003015000,1.00,2592592.59,2592593.00,2026-05-26 16:47:27.716285+07:00
30,16,BH25.0013,000225002007000,1.00,2490740.74,2490741.00,2026-05-26 16:47:27.716285+07:00
31,18,BH25.0014,000224002009000,2.00,1130000.00,2260000.00,2026-05-26 16:47:27.716285+07:00
32,18,BH25.0014,000224002002000,3.00,1130000.00,3390000.00,2026-05-26 16:47:27.716285+07:00
33,18,BH25.0014,000224002015000,2.00,1130000.00,2260000.00,2026-05-26 16:47:27.716285+07:00
34,18,BH25.0014,000225002023000,3.00,1180000.00,3540000.00,2026-05-26 16:47:27.716285+07:00
35,18,BH25.0014,000225002002000,4.00,1180000.00,4720000.00,2026-05-26 16:47:27.716285+07:00
36,18,BH25.0014,000225002015000,3.00,1180000.00,3540000.00,2026-05-26 16:47:27.716285+07:00
37,18,BH25.0014,000225002025000,2.00,1180000.00,2360000.00,2026-05-26 16:47:27.716285+07:00
38,18,BH25.0014,000125002009000,2.00,1050000.00,2100000.00,2026-05-26 16:47:27.716285+07:00
39,18,BH25.0014,000125002002000,1.00,1050000.00,1050000.00,2026-05-26 16:47:27.716285+07:00
40,18,BH25.0014,1000240020090000,3.00,500000.00,1500000.00,2026-05-26 16:47:27.716285+07:00
41,18,BH25.0014,1000240020220000,2.00,500000.00,1000000.00,2026-05-26 16:47:27.716285+07:00
42,18,BH25.0014,1000230020090000,3.00,470000.00,1410000.00,2026-05-26 16:47:27.716285+07:00
43,18,BH25.0014,1000220020090000,3.00,500000.00,1500000.00,2026-05-26 16:47:27.716285+07:00
44,18,BH25.0014,1000220020220000,1.00,500000.00,500000.00,2026-05-26 16:47:27.716285+07:00
45,18,BH25.0014,1000270020220000,3.00,500000.00,1500000.00,2026-05-26 16:47:27.716285+07:00
