price_id,product_code,unit_price,effective_from,effective_to,created_at
1,000214004000000,2305555.56,2025-01-02,,2026-05-26 16:47:27.716285+07:00
2,000333002022000,3509259.26,2025-01-06,,2026-05-26 16:47:27.716285+07:00
3,000224002004000,2398148.15,2025-01-06,,2026-05-26 16:47:27.716285+07:00
4,000217003001000,2453703.70,2025-01-06,,2026-05-26 16:47:27.716285+07:00
5,000217002007000,2212962.96,2025-01-07,,2026-05-26 16:47:27.716285+07:00
6,000225002015000,1898148.00,2025-01-07,,2026-05-26 16:47:27.716285+07:00
7,000226003015000,2037037.00,2025-01-07,,2026-05-26 16:47:27.716285+07:00
8,1000300050010000,2943055.56,2025-01-08,,2026-05-26 16:47:27.716285+07:00
9,000207004000000,1498611.11,2025-01-08,,2026-05-26 16:47:27.716285+07:00
10,000401002016002,1516666.67,2025-01-08,,2026-05-26 16:47:27.716285+07:00
11,000131002007000,1197685.19,2025-01-08,,2026-05-26 16:47:27.716285+07:00
12,1030010000080000,1289814.81,2025-01-08,,2026-05-26 16:47:27.716285+07:00
13,000224002004000,1558796.30,2025-01-08,,2026-05-26 16:47:27.716285+07:00
14,000214004000000,1498611.11,2025-01-08,,2026-05-26 16:47:27.716285+07:00
15,000225002004000,1618981.48,2025-01-08,,2026-05-26 16:47:27.716285+07:00
16,000226003015000,1685185.19,2025-01-08,,2026-05-26 16:47:27.716285+07:00
17,000217003001000,1594907.41,2025-01-08,,2026-05-26 16:47:27.716285+07:00
18,000331002004000,1799537.04,2025-01-08,,2026-05-26 16:47:27.716285+07:00
19,1000210020090000,470000.00,2025-01-09,,2026-05-26 16:47:27.716285+07:00
20,1040010000080000,1231481.48,2025-01-09,,2026-05-26 16:47:27.716285+07:00
21,1000220020090000,500000.00,2025-01-09,,2026-05-26 16:47:27.716285+07:00
22,000117002023000,500000.00,2025-01-09,,2026-05-26 16:47:27.716285+07:00
23,000218002007000,2305555.56,2025-01-09,,2026-05-26 16:47:27.716285+07:00
24,1000270020220000,500000.00,2025-01-09,,2026-05-26 16:47:27.716285+07:00
25,1000270020150000,500000.00,2025-01-09,,2026-05-26 16:47:27.716285+07:00
26,000218004005000,3324074.07,2025-01-09,,2026-05-26 16:47:27.716285+07:00
27,000224002004000,2222222.22,2025-01-09,,2026-05-26 16:47:27.716285+07:00
28,000225002009000,1180000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
29,000225002002000,1180000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
30,000225002023000,1180000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
31,000331002022000,1250000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
32,000216003001000,1200000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
33,000225002025000,1180000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
34,000226003023000,1200000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
35,000224002023000,1130000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
36,000226003015000,1200000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
37,000401002022000,1300000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
38,000224002002000,1130000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
39,000224002009000,1130000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
40,000226003002000,1200000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
41,000330002001000,1200000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
42,000224002015000,1130000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
43,000224002026000,1130000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
44,000125002009000,1050000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
45,000125002013000,1050000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
46,000333002001000,1300000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
47,000333002022000,1300000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
48,000226003014000,1200000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
49,000314002005000,1200000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
50,000214004000000,1250000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
51,000216003008000,1200000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
52,000218003001000,1270000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
53,000218003005000,1270000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
54,000226003015000,2592592.59,2025-01-10,,2026-05-26 16:47:27.716285+07:00
55,000225002007000,2490740.74,2025-01-10,,2026-05-26 16:47:27.716285+07:00
56,000225002015000,1180000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
57,000125002002000,1050000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
58,1000240020090000,500000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
59,1000240020220000,500000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
60,1000230020090000,470000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
61,1000220020220000,500000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
62,000218003008000,1270000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
63,000217003001000,1250000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
64,000217003005000,1250000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
65,1000300050080000,2150000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
66,000217003008000,1250000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
67,1000300050010000,2150000.00,2025-01-10,,2026-05-26 16:47:27.716285+07:00
68,1000330010240000,1490092.59,2025-01-11,,2026-05-26 16:47:27.716285+07:00
69,1040010000080000,1490092.59,2025-01-11,,2026-05-26 16:47:27.716285+07:00
70,1000210020090000,1062314.81,2025-01-11,,2026-05-26 16:47:27.716285+07:00
71,1000250020220000,1133611.11,2025-01-11,,2026-05-26 16:47:27.716285+07:00
72,1000270020220000,1133611.11,2025-01-11,,2026-05-26 16:47:27.716285+07:00
