province_id,province_name_raw,region_raw,province_name_clean,region_clean,mapping_type,note,raw_created_at,clean_created_at
5,Chí Linh,Miền Bắc,Hải Dương,Miền Bắc,district_to_province,Chí Linh thuộc Hải Dương,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
6,Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,Bắc Ninh,Miền Bắc,address_to_province,Chuỗi địa chỉ thuộc Bắc Ninh,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
7,Hoà Bình,Miền Bắc,Hòa Bình,Miền Bắc,normalize_text,Chuẩn hóa Hoà -> Hòa,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
10,Hà Nộ,Miền Bắc,Hà Nội,Miền Bắc,fix_typo,Hà Nộ -> Hà Nội,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
15,"Hưng Yên
Hưng Yên",Miền Bắc,Hưng Yên,Miền Bắc,normalize_text,Lỗi lặp/xuống dòng,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
16,Hưng yên,Miền Bắc,Hưng Yên,Miền Bắc,normalize_text,Chuẩn hóa viết hoa,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
17,Hạ Long,Miền Bắc,Quảng Ninh,Miền Bắc,district_to_province,Hạ Long thuộc Quảng Ninh,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
18,Hải Dươn,Miền Bắc,Hải Dương,Miền Bắc,fix_typo,Hải Dươn -> Hải Dương,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
21,Hội An,Miền Bắc,Quảng Nam,Miền Trung,district_to_province,Hội An thuộc Quảng Nam,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
22,Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,Thanh Hóa,Miền Trung,address_to_province,Chuỗi địa chỉ thuộc Thanh Hóa,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
23,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,Hải Dương,Miền Bắc,address_to_province,Chuỗi địa chỉ thuộc Hải Dương,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,Thanh Hóa,Miền Trung,address_to_province,Chuỗi địa chỉ thuộc Thanh Hóa,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
28,Nghệ A,Miền Bắc,Nghệ An,Miền Trung,fix_typo,Nghệ A -> Nghệ An,2026-05-26 16:47:27.716285+07:00,2026-05-26 17:54:36.025427+07:00
