customer_code,customer_name,province_name,region,rfm_segment,recency_days,frequency,monetary,value_score,p_order_next_30d,churn_risk_score,purchase_trend_score,marketing_priority_score,risk_segment,recommended_action,model_name,snapshot_cutoff_date,run_timestamp
KH-00005,CÔNG TY TNHH ĐẠI LỢI,Hà Nội,Miền Bắc,Lost,448,1,4425926.0,0.06641604010025062,0.0423223,0.9576777,23.75118658038976,1.0124834487822838,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,Champions,4,83,1290609765.0,0.9949874686716792,0.89481425,0.10518575,63.38061450964878,65.93620563632471,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Thanh Hóa,Miền Trung,Loyal,13,12,824872376.0,0.981203007518797,0.8607873,0.13921273,85.12454375614269,61.37931449751951,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,Hà Nội,Miền Bắc,At Risk,50,2,88888888.0,0.631578947368421,0.19269204,0.80730796,26.52527963440217,23.533045437108388,High churn risk,Decline intervention: kiểm tra nguyên nhân giảm mua,XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,Hưng Yên,Miền Bắc,At Risk,73,2,13685186.0,0.12531328320802004,0.09954918,0.9004508,39.93648531184429,4.474334764790345,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,Loyal,7,12,503776086.0,0.9548872180451128,0.92187995,0.07812005,72.15897076970043,61.691039742118335,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00011,DOANH NGHIỆP TW NAM TIẾN,Hà Nội,Miền Bắc,At Risk,390,2,4611112.0,0.07581453634085213,0.054568276,0.9454317,23.75430580639902,2.8298385093825877,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00012,HỘ KINH DOANH THIÊN AN,Hà Nội,Miền Bắc,At Risk,386,2,5185186.0,0.08583959899749373,0.018964525,0.9810355,23.754706070758854,2.892739174728107,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00013,DOANH NGHIỆP TW THANH BÌNH,Hưng Yên,Miền Bắc,Lost,445,1,2490741.0,0.02568922305764411,0.024724817,0.97527516,25.83460171551406,0.40334198330039495,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,Champions,0,9,310207551.0,0.9085213032581454,0.9522855,0.04771447,87.10584381101484,69.64785968854473,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,At Risk,371,3,77930000.0,0.581453634085213,0.015259796,0.9847402,17.945164342052458,20.27772482663683,High churn risk,Decline intervention: kiểm tra nguyên nhân giảm mua,XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,At Risk,370,4,93910000.0,0.6491228070175439,0.007889286,0.9921107,17.819215436836057,22.538596970789996,High churn risk,Decline intervention: kiểm tra nguyên nhân giảm mua,XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,Thái Nguyên,Miền Bắc,Lost,445,1,23350000.0,0.22431077694235588,0.017096821,0.9829032,18.637632018544362,3.2573774250395573,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,Champions,2,14,489630733.0,0.9511278195488722,0.9652695,0.034730494,81.31802753754077,71.53627067996624,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,Champions,5,70,4483061201.0,0.9987468671679198,0.9276942,0.0723058,74.09635278846488,70.12049966164633,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,Champions,0,55,9586955210.0,1.0,0.7240694,0.27593058,85.5155312017951,57.95725959264569,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,Hà Nội,Miền Bắc,At Risk,444,1,124583332.0,0.7380952380952381,0.07205059,0.9279494,17.90452269041661,26.797277928296577,Win-back priority,"Urgent win-back: gọi trực tiếp, ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00021,HỘ KINH DOANH XÂY DỰNG,Hà Nội,Miền Bắc,At Risk,444,1,87037037.0,0.6177944862155389,0.053586602,0.9464134,18.096534979203092,22.133415432620783,High churn risk,Decline intervention: kiểm tra nguyên nhân giảm mua,XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,Champions,0,20,953712163.0,0.9874686716791979,0.9535505,0.046449482,79.47253455296988,72.32226462568723,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00025,DOANH NGHIỆP TW SƠN HÀ,Thanh Hóa,Miền Trung,Lost,442,1,13277778.0,0.12280701754385964,0.03930168,0.9606983,20.626355823314015,1.8284565873306493,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,Loyal,8,18,666028221.0,0.9724310776942355,0.92849386,0.07150614,88.9900935576818,66.03717888229056,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00023,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,Champions,0,7,805982404.0,0.9786967418546366,0.8049882,0.1950118,48.88333964452654,58.421837563691724,Monitor,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,,,Loyal,14,12,325238580.0,0.9122807017543859,0.7990491,0.20095092,57.36055994744744,51.411594298387584,Monitor,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00026,CÔNG TY CỔ PHẦN LÊ ANH,Thanh Hóa,Miền Trung,Lost,442,1,7777778.0,0.09523809523809523,0.016850056,0.98314995,22.50135582331401,1.3439019709322904,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,Champions,0,18,563857123.0,0.9661654135338346,0.9311659,0.068834126,91.59331736000524,72.17263344622393,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,Phú Thọ,Miền Bắc,At Risk,368,2,51050000.0,0.4423558897243108,0.0064735813,0.9935264,18.062576188142458,15.307261443058701,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
